codigo,descricao,segmento
0322107,Atividades de apoio à aqüicultura em água doce,Energia e Utilidades
0322199,Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente,Agropecuária
0500301,Extração de carvão mineral,Mineração
0500302,Beneficiamento de carvão mineral,Indústria
0600001,Extração de petróleo e gás natural,Energia e Utilidades
0600002,Extração e beneficiamento de xisto,Indústria
0600003,Extração e beneficiamento de areias betuminosas,Indústria
0710301,Extração de minério de ferro,Mineração
0710302,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",Indústria
0721901,Extração de minério de alumínio,Mineração
0721902,Beneficiamento de minério de alumínio,Indústria
0722701,Extração de minério de estanho,Mineração
0722702,Beneficiamento de minério de estanho,Indústria
0723501,Extração de minério de manganês,Mineração
0723502,Beneficiamento de minério de manganês,Indústria
0724301,Extração de minério de metais preciosos,Mineração
0724302,Beneficiamento de minério de metais preciosos,Indústria
0725100,Extração de minerais radioativos,Mineração
0729401,Extração de minérios de nióbio e titânio,Mineração
0729402,Extração de minério de tungstênio,Mineração
0729403,Extração de minério de níquel,Mineração
0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",Mineração
0729405,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",Indústria
0810001,Extração de ardósia e beneficiamento associado,Mineração
0810002,Extração de granito e beneficiamento associado,Mineração
0810003,Extração de mármore e beneficiamento associado,Mineração
0810004,Extração de calcário e dolomita e beneficiamento associado,Mineração
0810005,Extração de gesso e caulim,Mineração
0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",Mineração
0810007,Extração de argila e beneficiamento associado,Mineração
0810008,Extração de saibro e beneficiamento associado,Mineração
0810009,Extração de basalto e beneficiamento associado,Mineração
0810010,Beneficiamento de gesso e caulim associado à extração,Indústria
0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Indústria
0891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Indústria
0892401,Extração de sal marinho,Mineração
0892402,Extração de sal-gema,Mineração
0892403,Refino e outros tratamentos do sal,Indústria
0893200,Extração de gemas (pedras preciosas e semipreciosas),Indústria
0899101,Extração de grafita,Mineração
0899102,Extração de quartzo,Mineração
0899103,Extração de amianto,Mineração
0899199,Extração de outros minerais não-metálicos não especificados anteriormente,Mineração
0910600,Atividades de apoio à extração de petróleo e gás natural,Energia e Utilidades
0990401,Atividades de apoio à extração de minério de ferro,Mineração
0990402,Atividades de apoio à extração de minerais metálicos não-ferrosos,Serviços
0990403,Atividades de apoio à extração de minerais não-metálicos,Serviços
1011201,Frigorífico - abate de bovinos,Outros
1011202,Frigorífico - abate de eqüinos,Outros
1011203,Frigorífico - abate de ovinos e caprinos,Outros
1011204,Frigorífico - abate de bufalinos,Outros
1011205,Matadouro - abate de reses sob contrato - exceto abate de suínos,Outros
1012101,Abate de aves,Outros
1012102,Abate de pequenos animais,Outros
1012103,Frigorífico - abate de suínos,Outros
1012104,Matadouro - abate de suínos sob contrato,Outros
1013901,Fabricação de produtos de carne,Indústria
1013902,Preparação de subprodutos do abate,Serviços
1020101,"Preservação de peixes, crustáceos e moluscos",Outros
1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Indústria
1031700,Fabricação de conservas de frutas,Indústria
1032501,Fabricação de conservas de palmito,Indústria
1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",Indústria
1033301,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",Indústria
1033302,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Indústria
1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Indústria
1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Indústria
1043100,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,Indústria
1051100,Preparação do leite,Serviços
1052000,Fabricação de laticínios,Indústria
1053800,Fabricação de sorvetes e outros gelados comestíveis,Indústria
1061901,Beneficiamento de arroz,Indústria
1061902,Fabricação de produtos do arroz,Indústria
1062700,Moagem de trigo e fabricação de derivados,Indústria
1063500,Fabricação de farinha de mandioca e derivados,Indústria
1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho",Indústria
1065101,Fabricação de amidos e féculas de vegetais,Indústria
