codigo,descricao,segmento
3831901,Recuperação de sucatas de alumínio,Serviços
3831999,"Recuperação de materiais metálicos, exceto alumínio",Meio Ambiente e Reciclagem
3832700,Recuperação de materiais plásticos,Meio Ambiente e Reciclagem
3839401,Usinas de compostagem,Outros
3839499,Recuperação de materiais não especificados anteriormente,Meio Ambiente e Reciclagem
3900500,Descontaminação e outros serviços de gestão de resíduos,Meio Ambiente e Reciclagem
4110700,Incorporação de empreendimentos imobiliários,Imobiliário
4120400,Construção de edifícios,Construção
4211101,Construção de rodovias e ferrovias,Construção
4211102,Pintura para sinalização em pistas rodoviárias e aeroportos,Outros
4212000,Construção de obras de arte especiais,Construção
4213800,"Obras de urbanização - ruas, praças e calçadas",Construção
4221901,Construção de barragens e represas para geração de energia elétrica,Construção
4221902,Construção de estações e redes de distribuição de energia elétrica,Construção
4221903,Manutenção de redes de distribuição de energia elétrica,Serviços
4221904,Construção de estações e redes de telecomunicações,Construção
4221905,Manutenção de estações e redes de telecomunicações,Serviços
4222701,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",Construção
4222702,Obras de irrigação,Construção
4223500,"Construção de redes de transportes por dutos, exceto para água e esgoto",Construção
4291000,"Obras portuárias, marítimas e fluviais",Construção
4292801,Montagem de estruturas metálicas,Indústria
4292802,Obras de montagem industrial,Construção
4299501,Construção de instalações esportivas e recreativas,Construção
4299599,Outras obras de engenharia civil não especificadas anteriormente,Construção
4311801,Demolição de edifícios e outras estruturas,Construção
4311802,Preparação de canteiro e limpeza de terreno,Serviços
4312600,Perfurações e sondagens,Outros
4313400,Obras de terraplenagem,Construção
4319300,Serviços de preparação do terreno não especificados anteriormente,Serviços
4321500,Instalação e manutenção elétrica,Serviços
4322301,"Instalações hidráulicas, sanitárias e de gás",Construção
4322302,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",Serviços
4322303,Instalações de sistema de prevenção contra incêndio,Construção
4329101,Instalação de painéis publicitários,Construção
4329102,Instalação de equipamentos para orientação à navegação marítima fluvial e lacustre,Construção
4329103,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes",Serviços
4329104,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",Construção
4329105,"Tratamentos térmicos, acústicos ou de vibração",Saúde
4329199,Outras obras de instalações em construções não especificadas anteriormente,Construção
4330401,Impermeabilização em obras de engenharia civil,Construção
4330402,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",Saúde
4330403,Obras de acabamento em gesso e estuque,Construção
4330404,Serviços de pintura de edifícios em geral,Serviços
4330405,Aplicação de revestimentos e de resinas em interiores e exteriores,Outros
4330499,Outras obras de acabamento da construção,Construção
4391600,Obras de fundações,Construção
4399101,Administração de obras,Serviços
4399102,Montagem e desmontagem de andaimes e outras estruturas temporárias,Indústria
4399103,Obras de alvenaria,Construção
4399104,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,Transporte e Logística
4399105,Perfuração e construção de poços de água,Construção
4399199,Serviços especializados para construção não especificados anteriormente,Serviços
4511101,"Comércio a varejo de automóveis, camionetas e utilitários novos",Comércio
4511102,"Comércio a varejo de automóveis, camionetas e utilitários usados",Comércio
4511103,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",Comércio
4511104,Comércio por atacado de caminhões novos e usados,Comércio
4511105,Comércio por atacado de reboques e semi-reboques novos e usados,Comércio
4511106,Comércio por atacado de ônibus e microônibus novos e usados,Comércio
4512901,Representantes comerciais e agentes do comércio de veículos automotores,Comércio
4512902,Comércio sob consignação de veículos automotores,Comércio
4520001,Serviços de manutenção e reparação mecânica de veículos automotores,Serviços
4520002,Serviços de lanternagem ou funilaria e pintura de veículos automotores,Serviços
4520003,Serviços de manutenção e reparação elétrica de veículos automotores,Serviços
4520004,Serviços de alinhamento e balanceamento de veículos automotores,Serviços
4520005,"Serviços de lavagem, lubrificação e polimento de veículos automotores",Serviços
4520006,Serviços de borracharia para veículos automotores,Serviços
4520007,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",Serviços
4520008,Serviços de capotaria,Serviços
4530701,Comércio por atacado de peças e acessórios novos para veículos automotores,Comércio
4530702,Comércio por atacado de pneumáticos e câmaras-de-ar,Comércio
4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,Comércio
4530704,Comércio a varejo de peças e acessórios usados para veículos automotores,Comércio
4530705,Comércio a varejo de pneumáticos e câmaras-de-ar,Comércio
4530706,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,Comércio
4541201,Comércio por atacado de motocicletas e motonetas,Comércio
4541202,Comércio por atacado de peças e acessórios para motocicletas e motonetas,Comércio
4541203,Comércio a varejo de motocicletas e motonetas novas,Comércio
4541204,Comércio a varejo de motocicletas e motonetas usadas,Comércio
4541205,Comércio a varejo de peças e acessórios para motocicletas e motonetas,Comércio
4541206,Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas,Comércio
4541207,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,Comércio
4542101,"Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios",Comércio
4542102,Comércio sob consignação de motocicletas e motonetas,Comércio
4543900,Manutenção e reparação de motocicletas e motonetas,Serviços
4611700,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,Comércio
4612500,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",Comércio
4613300,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",Comércio
4614100,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",Comércio
4615000,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico",Comércio
4616800,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",Comércio
4617600,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",Comércio
4618401,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria",Comércio
4618402,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,Saúde
4618403,"Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações",Comércio
4618499,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,Comércio
4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,Comércio
4621400,Comércio atacadista de café em grão,Comércio
4622200,Comércio atacadista de soja,Comércio
4623101,Comércio atacadista de animais vivos,Comércio
4623102,"Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal",Comércio
4623103,Comércio atacadista de algodão,Comércio
4623104,Comércio atacadista de fumo em folha não beneficiado,Comércio
4623105,Comércio atacadista de cacau,Comércio
4623106,"Comércio atacadista de sementes, flores, plantas e gramas",Comércio
4623107,Comércio atacadista de sisal,Comércio
4623108,Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada,Comércio
4623109,Comércio atacadista de alimentos para animais,Comércio
4623199,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,Comércio
4631100,Comércio atacadista de leite e laticínios,Comércio
4632001,Comércio atacadista de cereais e leguminosas beneficiados,Comércio
4632002,"Comércio atacadista de farinhas, amidos e féculas",Comércio
4632003,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada",Comércio
4633801,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",Comércio
4633802,Comércio atacadista de aves vivas e ovos,Comércio
4633803,Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação,Comércio
4634601,Comércio atacadista de carnes bovinas e suínas e derivados,Comércio
4634602,Comércio atacadista de aves abatidas e derivados,Comércio
4634603,Comércio atacadista de pescados e frutos do mar,Comércio
4634699,Comércio atacadista de carnes e derivados de outros animais,Comércio
4635401,Comércio atacadista de água mineral,Comércio
4635402,"Comércio atacadista de cerveja, chope e refrigerante",Comércio
4635403,Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada,Comércio
4635499,Comércio atacadista de bebidas não especificadas anteriormente,Comércio
4636201,Comércio atacadista de fumo beneficiado,Comércio
4636202,"Comércio atacadista de cigarros, cigarrilhas e charutos",Comércio
4637101,"Comércio atacadista de café torrado, moído e solúvel",Comércio
4637102,Comércio atacadista de açúcar,Comércio
4637103,Comércio atacadista de óleos e gorduras,Comércio
4637104,"Comércio atacadista de pães, bolos, biscoitos e similares",Comércio
4637105,Comércio atacadista de massas alimentícias,Comércio
4637106,Comércio atacadista de sorvetes,Comércio
4637107,"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",Comércio
4637199,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,Comércio
4639701,Comércio atacadista de produtos alimentícios em geral,Comércio
4639702,"Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada",Comércio
4641901,Comércio atacadista de tecidos,Comércio
4641902,"Comércio atacadista de artigos de cama, mesa e banho",Comércio
4641903,Comércio atacadista de artigos de armarinho,Comércio
4642701,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",Comércio
4642702,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,Comércio
4643501,Comércio atacadista de calçados,Comércio
4643502,"Comércio atacadista de bolsas, malas e artigos de viagem",Comércio
4644301,Comércio atacadista de medicamentos e drogas de uso humano,Comércio
4644302,Comércio atacadista de medicamentos e drogas de uso veterinário,Comércio
4645101,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",Comércio
4645102,Comércio atacadista de próteses e artigos de ortopedia,Comércio
4645103,Comércio atacadista de produtos odontológicos,Comércio
4646001,Comércio atacadista de cosméticos e produtos de perfumaria,Comércio
4646002,Comércio atacadista de produtos de higiene pessoal,Comércio
4647801,Comércio atacadista de artigos de escritório e de papelaria,Comércio
4647802,"Comércio atacadista de livros, jornais e outras publicações",Comércio
4649401,Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico,Comércio
4649402,Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,Comércio
4649403,"Comércio atacadista de bicicletas, triciclos e outros veículos recreativos",Comércio
4649404,Comércio atacadista de móveis e artigos de colchoaria,Comércio
4649405,Comércio atacadista de artigos de tapeçaria,Comércio
4649406,"Comércio atacadista de lustres, luminárias e abajures",Comércio
4649407,"Comércio atacadista de filmes, CDs, DVDs, fitas e discos",Comércio
4649408,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",Comércio
4649409,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada",Comércio
4649410,"Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas",Comércio
4649499,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,Comércio
4651601,Comércio atacadista de equipamentos de informática,Comércio
4651602,Comércio atacadista de suprimentos para informática,Comércio
4652400,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,Comércio
4661300,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário",Comércio
4662100,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção",Comércio
4663000,Comércio atacadista de Máquinas e equipamentos para uso industrial,Comércio
4664800,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar",Comércio
4665600,Comércio atacadista de máquinas e equipamentos para uso comercial,Comércio
4669901,Comércio atacadista de bombas e compressores,Comércio
4669999,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente,Comércio
4671100,Comércio atacadista de madeira e produtos derivados,Comércio
4672900,Comércio atacadista de ferragens e ferramentas,Comércio
4673700,Comércio atacadista de material elétrico,Comércio
4674500,Comércio atacadista de cimento,Comércio
4679601,"Comércio atacadista de tintas, vernizes e similares",Comércio
4679602,Comércio atacadista de mármores e granitos,Comércio
4679603,"Comércio atacadista de vidros, espelhos, vitrais e molduras",Comércio
4679604,Comércio atacadista especializado de materiais de construção não especificados anteriormente,Comércio
4679699,Comércio atacadista de materiais de construção em geral,Comércio
4681801,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",Comércio
4681802,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),Comércio
4681803,"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",Comércio
4681804,Comércio atacadista de combustíveis de origem mineral em bruto,Comércio
4681805,Comércio atacadista de lubrificantes,Comércio
4682600,Comércio atacadista de gás liqüefeito de petróleo (GLP),Comércio
4683400,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",Comércio
4684201,Comércio atacadista de resinas e elastômeros,Comércio
4684202,Comércio atacadista de solventes,Comércio
4684299,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,Comércio
4685100,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",Comércio
4686901,Comércio atacadista de papel e papelão em bruto,Comércio
4686902,Comércio atacadista de embalagens,Comércio
4687701,Comércio atacadista de resíduos de papel e papelão,Comércio
4687702,"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão",Comércio
4687703,Comércio atacadista de resíduos e sucatas metálicos,Comércio
4689301,"Comércio atacadista de produtos da extração mineral, exceto combustíveis",Comércio
4689302,Comércio atacadista de fios e fibras beneficiados,Comércio
4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,Comércio
4691500,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",Comércio
4692300,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",Comércio
4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",Comércio
4711301,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Comércio
4711302,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Comércio
4712100,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Comércio
4713001,Lojas de departamentos ou magazines,Comércio
4713002,"Lojas de variedades, exceto lojas de departamentos ou magazines",Comércio
4713003,Lojas duty free de aeroportos internacionais,Comércio
4713004,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",Comércio
4713005,"Lojas francas (Duty free) de aeroportos, portos e em fronteiras terrestres",Comércio
4721101,Padaria e confeitaria com predominância de produção própria,Alimentação
4721102,Padaria e confeitaria com predominância de revenda,Alimentação
4721103,Comércio varejista de laticínios e frios,Comércio
4721104,"Comércio varejista de doces, balas, bombons e semelhantes",Comércio
4722901,Comércio varejista de carnes - açougues,Comércio
4722902,Peixaria,Outros
4723700,Comércio varejista de bebidas,Comércio
4724500,Comércio varejista de hortifrutigranjeiros,Comércio
4729601,Tabacaria,Outros
4729602,Comércio varejista de mercadorias em lojas de conveniência,Comércio
4729699,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,Comércio
4731800,Comércio varejista de combustíveis para veículos automotores,Comércio
4732600,Comércio varejista de lubrificantes,Comércio
4741500,Comércio varejista de tintas e materiais para pintura,Comércio
4742300,Comércio varejista de material elétrico,Comércio
4743100,Comércio varejista de vidros,Comércio
4744001,Comércio varejista de ferragens e ferramentas,Comércio
4744002,Comércio varejista de madeira e artefatos,Comércio
4744003,Comércio varejista de materiais hidráulicos,Comércio
4744004,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",Comércio
4744005,Comércio varejista de materiais de construção não especificados anteriormente,Comércio
4744006,Comércio varejista de pedras para revestimento,Comércio
4744099,Comércio varejista de materiais de construção em geral,Comércio
4751200,Comércio varejista especializado de equipamentos e suprimentos de informática,Comércio
4751201,Comércio varejista especializado de equipamentos e suprimentos de informática,Comércio
4751202,Recarga de cartuchos para equipamentos de informática,Transporte e Logística
4752100,Comércio varejista especializado de equipamentos de telefonia e comunicação,Comércio
4753900,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,Comércio
4754701,Comércio varejista de móveis,Comércio
4754702,Comércio varejista de artigos de colchoaria,Comércio
4754703,Comércio varejista de artigos de iluminação,Comércio
4755501,Comércio varejista de tecidos,Comércio
4755502,Comercio varejista de artigos de armarinho,Outros
4755503,"Comercio varejista de artigos de cama, mesa e banho",Outros
4756300,Comércio varejista especializado de instrumentos musicais e acessórios,Comércio
4757100,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",Comércio
4759801,"Comércio varejista de artigos de tapeçaria, cortinas e persianas",Comércio
4759899,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,Comércio
4761001,Comércio varejista de livros,Comércio
4761002,Comércio varejista de jornais e revistas,Comércio
4761003,Comércio varejista de artigos de papelaria,Comércio
4762800,"Comércio varejista de discos, CDs, DVDs e fitas",Comércio
4763601,Comércio varejista de brinquedos e artigos recreativos,Comércio
4763602,Comércio varejista de artigos esportivos,Comércio
4763603,Comércio varejista de bicicletas e triciclos,Comércio
4763604,"Comércio varejista de artigos de caça, pesca e camping",Agropecuária
4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio
4771701,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Comércio
4771702,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",Comércio
4771703,Comércio varejista de produtos farmacêuticos homeopáticos,Comércio
4771704,Comércio varejista de medicamentos veterinários,Comércio
4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Comércio
4773300,Comércio varejista de artigos médicos e ortopédicos,Comércio
4774100,Comércio varejista de artigos de óptica,Comércio
4781400,Comércio varejista de artigos do vestuário e acessórios,Comércio
4782201,Comércio varejista de calçados,Comércio
4782202,Comércio varejista de artigos de viagem,Comércio
4783101,Comércio varejista de artigos de joalheria,Comércio
4783102,Comércio varejista de artigos de relojoaria,Comércio
4784900,Comércio varejista de gás liqüefeito de petróleo (GLP),Comércio
4785701,Comércio varejista de antigüidades,Comércio
4785799,Comércio varejista de outros artigos usados,Comércio
4789001,"Comércio varejista de suvenires, bijuterias e artesanatos",Comércio
4789002,Comércio varejista de plantas e flores naturais,Comércio
4789003,Comércio varejista de objetos de arte,Comércio
4789004,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,Comércio
4789005,Comércio varejista de produtos saneantes domissanitários,Comércio
4789006,Comércio varejista de fogos de artifício e artigos pirotécnicos,Comércio
4789007,Comércio varejista de equipamentos para escritório,Comércio
4789008,Comércio varejista de artigos fotográficos e para filmagem,Comércio
4789009,Comércio varejista de armas e munições,Comércio
4789099,Comércio varejista de outros produtos não especificados anteriormente,Comércio
4911600,Transporte ferroviário de carga,Transporte e Logística
4912401,Transporte ferroviário de passageiros intermunicipal e interestadual,Transporte e Logística
4912402,Transporte ferroviário de passageiros municipal e em região metropolitana,Transporte e Logística
4912403,Transporte metroviário,Transporte e Logística
4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",Transporte e Logística
4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Transporte e Logística
4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Transporte e Logística
4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",Transporte e Logística
4922103,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional",Transporte e Logística
4923001,Serviço de táxi,Serviços
4923002,Serviço de transporte de passageiros - locação de automóveis com motorista,Transporte e Logística
4924800,Transporte escolar,Transporte e Logística
4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",Transporte e Logística
4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",Transporte e Logística
4929903,"Organização de excursões em veículos rodoviários próprios, municipal",Organizações e Associações
4929904,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional",Organizações e Associações
4929999,Outros transportes rodoviários de passageiros não especificados anteriormente,Transporte e Logística
4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",Transporte e Logística
4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Transporte e Logística
4930203,Transporte rodoviário de produtos perigosos,Transporte e Logística
4930204,Transporte rodoviário de mudanças,Transporte e Logística
4940000,Transporte dutoviário,Transporte e Logística
4950700,"Trens turísticos, teleféricos e similares",Outros
5011401,Transporte marítimo de cabotagem - Carga,Transporte e Logística
5011402,Transporte marítimo de cabotagem - passageiros,Transporte e Logística
5012201,Transporte marítimo de longo curso - Carga,Transporte e Logística
5012202,Transporte marítimo de longo curso - Passageiros,Transporte e Logística
5021101,"Transporte por navegação interior de carga, municipal, exceto travessia",Transporte e Logística
5021102,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia",Transporte e Logística
5022001,"Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia",Transporte e Logística
5022002,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia",Transporte e Logística
5030101,Navegação de apoio marítimo,Transporte e Logística
5030102,Navegação de apoio portuário,Transporte e Logística
5030103,Serviço de rebocadores e empurradores,Serviços
5091201,"Transporte por navegação de travessia, municipal",Transporte e Logística
5091202,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",Transporte e Logística
5099801,Transporte aquaviário para passeios turísticos,Transporte e Logística
5099899,Outros transportes aquaviários não especificados anteriormente,Transporte e Logística
5111100,Transporte aéreo de passageiros regular,Transporte e Logística
5112901,Serviço de táxi aéreo e locação de aeronaves com tripulação,Serviços
5112999,Outros serviços de transporte aéreo de passageiros não-regular,Transporte e Logística
5120000,Transporte aéreo de carga,Transporte e Logística
5130700,Transporte espacial,Transporte e Logística
5211701,Armazéns gerais - emissão de warrant,Outros
5211702,Guarda-móveis,Outros
5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",Outros
5212500,Carga e descarga,Transporte e Logística
5221400,"Concessionárias de rodovias, pontes, túneis e serviços relacionados",Serviços
5222200,Terminais rodoviários e ferroviários,Outros
5223100,Estacionamento de veículos,Outros
5229001,"Serviços de apoio ao transporte por táxi, inclusive centrais de chamada",Transporte e Logística
5229002,Serviços de reboque de veículos,Serviços
5229099,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,Transporte e Logística
5231101,Administração da infra-estrutura portuária,Serviços
5231102,Atividades do Operador Portuário,Outros
5231103,Gestão de terminais aquaviários,Serviços
5232000,Atividades de agenciamento marítimo,Outros
5239700,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,Transporte e Logística
5239701,Serviços de praticagem,Serviços
5239799,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,Transporte e Logística
5240101,Operação dos aeroportos e campos de aterrissagem,Outros
5240199,"Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem",Transporte e Logística
5250801,Comissaria de despachos,Beleza e Estética
5250802,Atividades de despachantes aduaneiros,Beleza e Estética
5250803,"Agenciamento de cargas, exceto para o transporte marítimo",Transporte e Logística
5250804,Organização logística do transporte de carga,Transporte e Logística
5250805,Operador de transporte multimodal - OTM,Transporte e Logística
5310501,Atividades do Correio Nacional,Transporte e Logística
5310502,Atividades de franqueadas do Correio Nacional,Transporte e Logística
5320201,Serviços de malote não realizados pelo Correio Nacional,Serviços
5320202,Serviços de entrega rápida,Serviços
5510801,Hotéis,Outros
5510802,Apart-hotéis,Outros
5510803,Motéis,Outros
5590601,"Albergues, exceto assistenciais",Turismo e Hotelaria
5590602,Campings,Outros
5590603,Pensões (alojamento),Comércio
5590699,Outros alojamentos não especificados anteriormente,Comércio
5611201,Restaurantes e similares,Alimentação
5611202,Bares e outros estabelecimentos especializados em servir bebidas,Alimentação
5611203,"Lanchonetes, casas de chá, de sucos e similares",Alimentação
5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",Alimentação
5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",Alimentação
5612100,Serviços ambulantes de alimentação,Serviços
5620101,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação
5620102,Serviços de alimentação para eventos e recepções - bufê,Serviços
5620103,Cantinas - serviços de alimentação privativos,Alimentação
5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,Alimentação
5811500,Edição de livros,Editorial e Gráfica
5812300,Edição de jornais,Editorial e Gráfica
5812301,Edição de jornais diários,Editorial e Gráfica
5812302,Edição de jornais não diários,Editorial e Gráfica
5813100,Edição de revistas,Editorial e Gráfica
5819100,"Edição de cadastros, listas e de outros produtos gráficos",Editorial e Gráfica
5821200,Edição integrada à impressão de livros,Editorial e Gráfica
5822100,Edição integrada à impressão de jornais,Editorial e Gráfica
5822101,Edição integrada à impressão de jornais diários,Editorial e Gráfica
5822102,Edição integrada à impressão de jornais não diários,Editorial e Gráfica
5823900,Edição integrada à impressão de revistas,Editorial e Gráfica
5829800,"Edição integrada à impressão de cadastros, listas e de outros produtos gráficos",Editorial e Gráfica
5911101,Estúdios cinematográficos,Entretenimento e Cultura
5911102,Produção de filmes para publicidade,Indústria
5911199,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",Comunicação e Marketing
5912001,Serviços de dublagem,Serviços
5912002,Serviços de mixagem sonora em produção audiovisual,Serviços
5912099,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",Comunicação e Marketing
5913800,"Distribuição cinematográfica, de vídeo e de programas de televisão",Comércio
5914600,Atividades de exibição cinematográfica,Entretenimento e Cultura
5920100,Atividades de gravação de som e de edição de música,Editorial e Gráfica
6010100,Atividades de rádio,Comunicação e Marketing
6021700,Atividades de televisão aberta,Comunicação e Marketing
6022501,Programadoras,Outros
6022502,"Atividades relacionadas à televisão por assinatura, exceto programadoras",Comunicação e Marketing
6110801,Serviços de telefonia fixa comutada - STFC,Serviços
6110802,Serviços de redes de transportes de telecomunicações - SRTT,Transporte e Logística
6110803,Serviços de comunicação multimídia - SCM,Serviços
6110899,Serviços de telecomunicações por fio não especificados anteriormente,Serviços
6120501,Telefonia móvel celular,Comunicação e Marketing
6120502,Serviço móvel especializado - SME,Serviços
6120599,Serviços de telecomunicações sem fio não especificados anteriormente,Serviços
6130200,Telecomunicações por satélite,Outros
6141800,Operadoras de televisão por assinatura por cabo,Comunicação e Marketing
6142600,Operadoras de televisão por assinatura por microondas,Comunicação e Marketing
6143400,Operadoras de televisão por assinatura por satélite,Comunicação e Marketing
6190601,Provedores de acesso às redes de comunicações,Comunicação e Marketing
6190602,Provedores de voz sobre protocolo internet - VOIP,Comunicação e Marketing
6190699,Outras atividades de telecomunicações não especificadas anteriormente,Outros
6201500,Desenvolvimento de programas de computador sob encomenda,Tecnologia
6201501,Desenvolvimento de programas de computador sob encomenda,Tecnologia
6201502,Web design,Tecnologia
6202300,Desenvolvimento e licenciamento de programas de computador customizáveis,Outros
6203100,Desenvolvimento e licenciamento de programas de computador não-customizáveis,Outros
6204000,Consultoria em tecnologia da informação,Serviços
6209100,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",Serviços
6311900,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",Saúde
6319400,"Portais, provedores de conteúdo e outros serviços de informação na internet",Comunicação e Marketing
6391700,Agências de notícias,Comunicação e Marketing
6399200,Outras atividades de prestação de serviços de informação não especificadas anteriormente,Serviços
6410700,Banco Central,Financeiro
6421200,Bancos comerciais,Financeiro
6422100,"Bancos múltiplos, com carteira comercial",Financeiro
